# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  151       5.799959594488e-10       1.441553121704e-13      -6.052711541040e-12       1.009422477535e-15       3.481253454782e-12       6.276778627482e-13      -3.970517014955e-15 
  152       5.842533022529e-10       1.434452288983e-13      -6.053223459788e-12       1.024060486888e-15       3.415638658919e-12       6.183426398979e-13      -3.903845042688e-15 
  153       5.884842790534e-10       1.426800252633e-13      -6.050514678551e-12       1.038835159548e-15       3.351697770680e-12       6.091899360394e-13      -3.836961893274e-15 
  154       5.926875691151e-10       1.418611523935e-13      -6.044547404626e-12       1.053746774306e-15       3.289383857215e-12       6.002154344304e-13      -3.769914583346e-15 
  155       5.968618087969e-10       1.409901699962e-13      -6.035285473563e-12       1.068795584015e-15       3.228642458790e-12       5.914139257050e-13      -3.702750226437e-15 
  156       6.010055907511e-10       1.400687480995e-13      -6.022694388991e-12       1.083981815044e-15       3.169411431975e-12       5.827792886113e-13      -3.635516013332e-15 
  157       6.051174631231e-10       1.390986687932e-13      -6.006741362456e-12       1.099305666738e-15       3.111620792834e-12       5.743044707496e-13      -3.568259192430e-15 
  158       6.091959287503e-10       1.380818279695e-13      -5.987395353247e-12       1.114767310871e-15       3.055192560112e-12       5.659814693095e-13      -3.501027050105e-15 
  159       6.132394443616e-10       1.370202370644e-13      -5.964627108231e-12       1.130366891101e-15       3.000040598429e-12       5.578013118078e-13      -3.433866891059e-15 
  160       6.172464197770e-10       1.359160247985e-13      -5.938409201683e-12       1.146104522427e-15       2.946070461462e-12       5.497540368266e-13      -3.366826018687e-15 
  161       6.212153286793e-10       1.347713895878e-13      -5.908715943531e-12       1.161980301274e-15       2.893198744269e-12       5.418310144760e-13      -3.299949944284e-15 
